instance,solver,n_items,capacity,objective,known_optimal,gap,found_optimal,runtime,status
knapPI_1_10000_1000_1,PuLP,10000,49877,563647.0,563647,0.0,1,0.7514562606811523,Optimal
knapPI_1_10000_1000_1,OR-Tools,10000,49877,563640.0,563647,7.0,0,0.49449801445007324,Optimal
knapPI_1_1000_1000_1,PuLP,1000,5002,54503.0,54503,0.0,1,0.13733863830566406,Optimal
knapPI_1_1000_1000_1,OR-Tools,1000,5002,54503.0,54503,0.0,1,0.02786874771118164,Optimal
knapPI_1_100_1000_1,PuLP,100,995,9147.0,9147,0.0,1,0.04305124282836914,Optimal
knapPI_1_100_1000_1,OR-Tools,100,995,9147.0,9147,0.0,1,0.007340192794799805,Optimal
knapPI_1_2000_1000_1,PuLP,2000,10011,110625.0,110625,0.0,1,0.14972400665283203,Optimal
knapPI_1_2000_1000_1,OR-Tools,2000,10011,110625.0,110625,0.0,1,0.06762909889221191,Optimal
knapPI_1_200_1000_1,PuLP,200,1008,11238.0,11238,0.0,1,0.04640340805053711,Optimal
knapPI_1_200_1000_1,OR-Tools,200,1008,11238.0,11238,0.0,1,0.011452198028564453,Optimal
knapPI_1_5000_1000_1,PuLP,5000,25016,276457.0,276457,0.0,1,0.2360222339630127,Optimal
knapPI_1_5000_1000_1,OR-Tools,5000,25016,276450.0,276457,7.0,0,0.19307780265808105,Optimal
knapPI_1_500_1000_1,PuLP,500,2543,28857.0,28857,0.0,1,0.06586933135986328,Optimal
knapPI_1_500_1000_1,OR-Tools,500,2543,28857.0,28857,0.0,1,0.019454002380371094,Optimal
knapPI_2_10000_1000_1,PuLP,10000,49877,90204.0,90204,0.0,1,0.7543094158172607,Optimal
knapPI_2_10000_1000_1,OR-Tools,10000,49877,90200.0,90204,4.0,0,0.3597874641418457,Optimal
knapPI_2_1000_1000_1,PuLP,1000,5002,9052.0,9052,0.0,1,0.11681246757507324,Optimal
knapPI_2_1000_1000_1,OR-Tools,1000,5002,9052.0,9052,0.0,1,0.03945660591125488,Optimal
knapPI_2_100_1000_1,PuLP,100,995,1514.0,1514,0.0,1,0.046755313873291016,Optimal
knapPI_2_100_1000_1,OR-Tools,100,995,1514.0,1514,0.0,1,0.015105962753295898,Optimal
knapPI_2_2000_1000_1,PuLP,2000,10011,18051.0,18051,0.0,1,0.23120999336242676,Optimal
knapPI_2_2000_1000_1,OR-Tools,2000,10011,18051.0,18051,0.0,1,0.10853075981140137,Optimal
knapPI_2_200_1000_1,PuLP,200,1008,1634.0,1634,0.0,1,0.08633184432983398,Optimal
knapPI_2_200_1000_1,OR-Tools,200,1008,1634.0,1634,0.0,1,0.024045705795288086,Optimal
knapPI_2_5000_1000_1,PuLP,5000,25016,44356.0,44356,0.0,1,0.5287878513336182,Optimal
knapPI_2_5000_1000_1,OR-Tools,5000,25016,44354.0,44356,2.0,0,0.1681215763092041,Optimal
knapPI_2_500_1000_1,PuLP,500,2543,4566.0,4566,0.0,1,0.11912155151367188,Optimal
knapPI_2_500_1000_1,OR-Tools,500,2543,4566.0,4566,0.0,1,0.01841902732849121,Optimal
knapPI_3_10000_1000_1,PuLP,10000,49519,146919.0,146919,0.0,1,0.281796932220459,Optimal
knapPI_3_10000_1000_1,OR-Tools,10000,49519,146919.0,146919,0.0,1,0.10125875473022461,Optimal
knapPI_3_1000_1000_1,PuLP,1000,4990,14390.0,14390,0.0,1,0.11220359802246094,Optimal
knapPI_3_1000_1000_1,OR-Tools,1000,4990,14390.0,14390,0.0,1,0.05923819541931152,Optimal
knapPI_3_100_1000_1,PuLP,100,997,2397.0,2397,0.0,1,0.056845664978027344,Optimal
knapPI_3_100_1000_1,OR-Tools,100,997,2397.0,2397,0.0,1,0.0079193115234375,Optimal
knapPI_3_2000_1000_1,PuLP,2000,9819,28919.0,28919,0.0,1,0.15112733840942383,Optimal
knapPI_3_2000_1000_1,OR-Tools,2000,9819,28919.0,28919,0.0,1,0.08730578422546387,Optimal
knapPI_3_200_1000_1,PuLP,200,997,2697.0,2697,0.0,1,0.04262995719909668,Optimal
knapPI_3_200_1000_1,OR-Tools,200,997,2697.0,2697,0.0,1,0.007563352584838867,Optimal
knapPI_3_5000_1000_1,PuLP,5000,24805,72505.0,72505,0.0,1,0.2981879711151123,Optimal
knapPI_3_5000_1000_1,OR-Tools,5000,24805,72505.0,72505,0.0,1,0.11113190650939941,Optimal
knapPI_3_500_1000_1,PuLP,500,2517,7117.0,7117,0.0,1,0.05526471138000488,Optimal
knapPI_3_500_1000_1,OR-Tools,500,2517,7117.0,7117,0.0,1,0.012651443481445312,Optimal
